Flat_No,House_Name,House_No,Street,Locale,Town,Postcode,Parish,Consideration,Market_Value,Acquisition_Date,Registered_Date
,Ronague Service Reservoir,,Ronague,,Castletown,,Arbory,2000,,18/06/1982,26/04/2002
,,35,Slieau Curn Park,,Kirk Michael,IM6 1EJ,Michael,24000,220000,9/7/1982,24/10/2008
,Ballure Holiday Homes,,Ballure,,Maughold,IM7 1AD,Maughold,90000,750000,15/07/1982,30/05/2017
,Premier Court,,Mooragh Promenade,,Ramsey,IM8 3AU,Lezayre,3000,3000,12/8/1982,16/11/2011
,,3,Snaefell Crescent,Ballachrink,Onchan,IM3 4NJ,Onchan,29500,0,1/11/1982,31/03/2011
,,40,Duke Street,,Douglas,IM1 2AX,Onchan,6000,450000,3/11/1982,13/07/2010
,Letitia,,Main Road,,Lonan,IM4 6AE,Lonan,25000,375000,15/12/1982,28/11/2012
,Parcel Of Land,,Shore Road,,Port St Mary,IM9 5LY,Rushen,50000,1000000,24/01/1983,7/5/2010
,Fieldhead,,Main Road,,Glen Vine,IM4 4BF,Marown,175000,1000000,7/2/1983,21/05/2018
,Langley House,,Ramsey Road,,Laxey,IM4 7PX,Lonan,36500,,14/02/1983,20/05/2004
,Plot Of Land Adjacent To Langley House,,Ramsey Road,,Laxey,IM4 7PX,Lonan,10000,,14/02/1983,20/05/2004
,Water Treatment Works,,Sulby Glen,,Sulby,IM7 2BD,Lezayre,6000,,8/6/1983,24/04/2002
,Garth Mount,,Strang Road,Union Mills,Braddan,IM4 4NX,Braddan,58000,58000,13/12/1983,25/06/2009
,9 And 9A,,Stanley Road,,Peel,IM5 1NY,German,10000,400000,18/12/1984,15/04/2013
,Bunker And Plot Of Land,,Ballacallin,,Patrick,,Patrick,0.25,50000,4/4/1985,14/12/2012
,Centre For Manx Studies,,6 Kingswood Grove,,Douglas,IM1 3LX,Onchan,12150,,4/6/1985,28/05/2002
,Newlands House,,Baldrine,,Laxey,IM4 6DZ,Lonan,0,600000,6/6/1985,25/01/2016
,Land At Sulby Reservoir,,Sulby Glen,,Michael,,Michael,7250,,2/9/1985,11/4/2003
,Church Barn,,Lonan Church Road,,Laxey,IM4 7JX,Lonan,255000,,30/09/1985,25/08/2005
,Stovell And Stovell Lodge,,Tromode Road,,Douglas,IM2 5PB,Onchan,35000,1800000,11/10/1985,30/01/2015
,Colooneys Bungalow,,Colooneys Lane,Cooil,Braddan,IM4 2AG,Braddan,0,300000,31/12/1985,22/10/2014
,Holly Cottage,,Ballaughton Meadows,,Douglas,IM2 1JG,Braddan,69500,600000,1/4/1986,3/11/2011
,Pendle,5,Brookfield Avenue,,Ramsey,IM8 2AE,Maughold,200000,,9/4/1986,30/03/2004
Small Parcel Of Land,,,Bay View Road Abutting Shoprite,,Port Erin,,Rushen,1,1,16/04/1986,27/09/2011
,,58-60,Main Road,,Onchan,IM3 1AL,Onchan,0.25,220000,15/05/1986,18/09/2012
,,,Plot Of Land At Ballaughton Meadows,,Douglas,,Braddan,6500,120000,19/06/1986,3/11/2011
,Lanjaghan Service Reservoir,,Lanjaghan Lane,Abbeylands,Douglas,,Onchan,500,,25/09/1986,13/05/2002
,The Gospel Hall,,Little Switzerland Road,,Douglas,IM2 4NG,Onchan,8000,170000,21/10/1986,21/09/2017
,Abbeylands Pumping Station,,Abbeylands,,Douglas,IM4 5EF,Onchan,400,,20/11/1986,26/04/2002
,,66,Glenfaba Road,,Peel,IM5 1DA,German,0,200000,1/5/1987,4/3/2011
,Supermarket Store And Car Park,,Derby Road,,Peel,IM5 1HP,German,76077,2900000,31/07/1987,4/10/2017
,Warehouse,,Pulrose Road,,Douglas,IM9 2AW,Braddan,293934,3750000,31/07/1987,23/01/2018
,Supermarket Store,,Bridson Street,,Port Erin,IM9 6AL,Rushen,56637,3650000,31/07/1987,30/04/2018
,Isle Of Man Water Authority Headquarters,,Tromode Road,,Douglas,IM2 5PA,Onchan,80000,,6/10/1987,29/05/2002
,,1,The Cherry Walk,Hightonwood Hill,Douglas,IM2 5NS,Onchan,10000,300000,23/10/1987,24/11/2011
,,21,Bowring Road,,Ramsey,IM8 3EW,Lezayre,0.25,300000,23/10/1987,22/08/2012
,The Homestead,,Ballamodha Straight,,Ballasalla,IM9 3EN,Malew,14000,320000,13/11/1987,16/05/2018
,Island Saddlery And Hardware,,Main Road,,Kirk Michael,IM6 1ED,Michael,0,90000,29/01/1988,27/04/2016
,,28,Ridgeway Street,,Douglas,IM1 1EL,Onchan,230000,350000,15/02/1988,23/09/2011
,,,Viking Complex,,Ramsey,,Maughold,1,1029980,31/03/1988,7/12/2017
,,5,Banks Howe,,Onchan,IM3 2EN,Onchan,98000,400000,31/03/1988,26/01/2017
,Windbourne,,Main Road,,Union Mills,IM4 4AN,Marown,48850,1500000,6/4/1988,14/09/2010
,,1,King Edward Park,,Onchan,IM3 2AD,Onchan,59950,250000,14/04/1988,1/6/2016
,,4,Cronk-Y-Berry,,Douglas,IM2 6EX,Onchan,48000,275000,6/7/1988,23/01/2014
,,54,Duke Street,,Douglas,IM1 2AR,Onchan,68500,350000,12/8/1988,14/07/2016
,Mylvoirrey,,Rheast Lane,,Peel,IM5 1BG,German,90000,90000,28/09/1988,21/10/2008
,Plot Of Land,,Cherry Orchard,,Port Erin,,Rushen,600000,200000,30/09/1988,11/5/2018
Two Garages,,,Lane To The Rear Of Westbourne Drive,,Douglas,IM1 4BB,Onchan,12000,30000,10/10/1988,22/03/2012
,Lord Street Bus Station,,Lord Street,,Douglas,,Onchan,0.25,2000000,19/10/1988,22/03/2011
Unit 1A,,,St Pauls Square,,Ramsey,IM8 1LE,Maughold,140000,500000,12/11/1988,26/09/2017
,The Quarry,,Glen Road,,Laxey,IM4 7QL,Lonan,10000,10000,9/12/1988,21/11/2007
,,13,Michael Street,,Peel,IM5 1HB,German,10500,700000,12/1/1989,31/08/2017
,,15 & 17,Arbrory Street,,Castletown,IM9 1LH,Malew,67500,67500,20/01/1989,27/09/2017
,Peel Castle,,St. Patricks Isle,,Peel,,Patrick,0.25,,1/4/1989,6/11/2000
,Castle Rushen,,The Quay,,Castletown,IM9 1LD,Malew,0.25,,1/4/1989,6/11/2000
,,11 & 13,Arbory Street,,Castletown,IM9 1LH,Malew,125000,575000,2/5/1989,26/09/2017
,17 Crosby Mews,,Eyreton Park,,Crosby,IM4 2DG,Marown,150000,150000,30/05/1989,10/3/2017
,Ballacorey Cottage,,Ballacorey Road,,Andreas,IM7 4EL,Andreas,157000,600000,14/06/1989,18/03/2009
,Glen View,31,Carrick Park,,Sulby,IM7 2EY,Lezayre,30000,400000,17/07/1989,17/09/2014
,,35,Carrick Park,,Sulby,IM7 2EY,Lezayre,30000,30000,20/07/1989,12/3/2014
,Plots Of Land,,Part Of The Ballakermeen Estate,,Douglas,,Onchan,935000,100000,1/9/1989,3/4/2012
,Warehouse,,Mill Road,,Peel,,German,85000,200000,19/09/1989,21/02/2014
,Ballavitchell Cottage,,Ballavitchell Road,Crosby,Marown,IM4 2DN,Marown,135000,330000,26/10/1989,19/08/2016
,White Horses,5,Clay Head Road,,Baldrine,IM4 6DJ,Lonan,157000,650000,14/11/1989,4/10/2018
,,,The Curraghs,,Ballaugh,,Ballaugh,1.25,260000,29/12/1989,29/01/2019
Flat 26,,,Woodbourne Court,Woodbourne Road,Douglas,IM2 3AT,Onchan,23950,53000,26/01/1990,24/07/2015
,Thie Vane,,Grenaby Corner,,Ballasalla,IM9 3DR,Malew,275000,275000,31/01/1990,24/10/2008
,,4,Marguerite Place,,Foxdale,IM4 3HE,Patrick,63000,250000,31/01/1990,21/07/2016
,Belvedere Court,,Mooragh Promenade,,Ramsey,IM8 3AG,Lezayre,0,1,14/03/1990,9/9/2014
,,3,Mourne View,,Peel,IM5 1UJ,German,155000,670000,4/6/1990,31/10/2014
Flat 1,Hillcrest House,,Windosr Mount,,Ramsey,IM8 3EA,Lezayre,25000,25000,7/6/1990,17/01/2014
,Plot Of Land,,Off The Main Road,,Glen Vine,,Marown,20000,400000,14/06/1990,12/4/2019
Murray House,,11-May,Mount Havelock,,Douglas,IM1 2QF,Onchan,1000000,,1/7/1990,9/6/2003
,,30a,Market Street,,Peel,IM5 1AE,German,0,110000,24/10/1990,22/12/2014
,Field Abutting Ballacorey Cottage,,Ballacorey Road,,Andreas,IM7 4EL,Andreas,30000,30000,17/12/1990,19/03/2009
,,44 46 & 48,Broadway,,Douglas,IM2 4EW,Onchan,131500,131500,1/5/1991,26/09/2008
,,41,Turnberry Avenue,Howstrake Heights,Onchan,IM3 2JX,Onchan,200000,200000,13/06/1991,18/11/2008
,,2,High Street,,Port St. Mary,IM9 5DR,Rushen,150000,269500,18/06/1991,12/6/2014
,,,King William'S College,,Castletown,IM9 1TP,Malew,1,11500000,1/8/1991,14/04/2009
,The Buchan School,,Westhill,Arbory Road,Castletown,IM9 1RD,Malew,1,3250000,1/8/1991,11/6/2018
,,16,North Shore Road,,Ramsey,IM8 3DY,Lezayre,30000,30000,8/8/1991,22/07/2009
,,19,Oakhill Close,Glen Park,Douglas,IM2 6HU,Onchan,48000,180000,27/08/1991,28/04/2017
,41 Mysore Cottages,,Waterloo Road,,Ramsey,IM8 1DX,Maughold,44500,44500,5/9/1991,21/04/2016
,Strooan Y Wyllin,,Main Road,,Sulby,IM7 2HF,Lezayre,88500,88500,10/9/1991,14/01/2015
,Ballakewish Pumping Station,,West Baldwin,,Braddan,IM4 5EU,Braddan,368.8,,15/11/1991,17/06/2003
,Land,,Glen Maye,,Patrick,,Patrick,1,15000,21/11/1991,6/5/2008
,Land,,Glen Maye,,Patrick,,Patrick,0,15000,21/11/1991,6/5/2008
,Curlew House,,The Garey,,Lezayre,IM7 2EH,Lezayre,62000,2750000,29/11/1991,31/08/2010
,Claireville,,Station Road,,St. Johns,IM4 3AH,German,30000,,23/12/1991,14/04/2004
,Claireville,,Station Road,,St. Johns,IM4 3AH,German,30000,,23/12/1991,15/04/2004
,Winerite Store,,Victoria Road,,Douglas,IM2 4EZ,Onchan,250164,1050000,1/4/1992,21/08/2017
,Stoneleigh,,Port-E-Vullen,,Maughold,IM7 1AN,Maughold,28500,450000,21/04/1992,1/9/2011
,,23,Hillberry Lakes,,Douglas,IM2 7BD,Onchan,39500,39500,22/07/1992,10/3/2015
,,,Land At Ballacowle,,Lezayre,,Lezayre,15250,50000,23/07/1992,26/01/2018
,Cronk Aash,,Eyreton Road,,Crosby,IM4 4BR,Marown,34000,185000,1/10/1992,26/09/2012
,Lhergy Cripperty Pumping Station,,Lhergy Cripperty,,Union Mills,,Braddan,6300,,12/10/1992,13/03/2002
,River Cottage,,Main Road,,Ballaugh,IM7 5EB,Ballaugh,125000,125000,9/11/1992,6/8/2014
,Land At Langdale,,Phildraw Road,,Ballasalla,,Malew,23500,2000000,19/03/1993,29/12/2017
,Bay View Hotel,,Primrose Terrace,,Port St Mary,IM9 5AP,Rushen,192852,,29/03/1993,22/02/2007
,Land At,,Johnny Wattersons Lane,,Douglas,,Onchan,880000,,21/05/1993,1/11/2005
,Field At,,Johnny Wattersons Lane,,Douglas,,Onchan,880000,,21/05/1993,1/11/2005
,Manor House Lodge,,Lower Ballacottier,,Onchan,1M4 5BQ,Onchan,230000,2500000,16/07/1993,30/09/2013
,,,Land Part Of Balthane Industrial Estate,,Ballasalla,,Malew,50926,120000,26/07/1993,6/5/2016
,Land Adjacent To,,Hollin Lane,Tromode Woods,Cronkbourne Village,,Braddan,0.25,999,17/08/1993,13/04/2017
,,,Land Adjacent To Ballafletcher Road,,Braddan,,Braddan,0.25,999,17/08/1993,7/4/2017
,Land Adjacent To,,Hollin Lane,Tromode Woods,Cronkbourne Village,,Braddan,0.25,999,17/08/1993,7/4/2017
,,,Land To The South West Of,Ashen Bank,Tromode Woods,,Braddan,0.25,999,17/08/1993,7/4/2017
,The Westwards,,Bradda Road,,Port Erin,IM9 6QA,Rushen,533000,1000000,5/11/1993,8/3/2012
,Avenholm,,Dandy Hill,,Port Erin,IM9 6HN,Rushen,98000,350000,19/11/1993,11/5/2012
Flat 2,Hillcrest House,,Windsor Mount,,Ramsey,IM8 3EA,Lezayre,25000,25000,7/1/1994,17/01/2014
,,22,Ballaquane Park,,Peel,IM5 1PU,German,0.25,350000,10/1/1994,3/4/2012
,Gleneedle Service Reservoir,,Gleneedle,,Nr Lower Foxdale,,Patrick,14500,,18/03/1994,21/02/2003
,Part Of Access Roadway To Gleneedle Service Reservoir,,Gleneedle,Nr Lower Foxdale,Patrick,,Patrick,1500,,18/03/1994,31/03/2003
,Loch Pine,3,Kermode Close,Eyreton Road,Crosby,IM4 4BS,Marown,72000,325000,18/03/1994,25/04/2014
,Land Adjoining Garey Veg,,Main Road,,Kirk Michael,IM6 1AH,Michael,0.25,1000,29/03/1994,2/2/2010
,Land Abutting A Lane Leading From,,Clenagh Road,Sandygate,Lezayre,IM7 3AE,Lezayre,3000,,30/03/1994,12/2/2004
,Tower View,,Beaumont Road,,Ramsey,IM8 2HW,Maughold,65000.25,,17/05/1994,23/02/2007
,,7,Waterloo Road,,Ramsey,IM8 1DR,Maughold,43000,43000,31/05/1994,7/11/2007
,,9,Brookfield Terrace,,Foxdale,IM4 3ED,Patrick,64000,180000,14/10/1994,5/4/2013
,St. Johns Pumping Station,,Station Road,,St. Johns,,Patrick,7000,,26/10/1994,4/4/2003
,Shannon Court,,Bowring Road,,Ramsey,IM8 2LQ,Lezayre,150000,,1/11/1994,12/8/2004
,,10,Oakdale,,Douglas,IM2 7BT,Onchan,20000,325000,18/11/1994,9/3/2016
,Sulby Service Reservoir,,Ballakerka,Sulby Glen,Sulby,,Lezayre,11800,,14/12/1994,21/02/2003
